metric_name,date,p10,p50,p90
s3.request,2019-12-29T00:00:00Z,869.3194817508029,3048.5523956535158,5227.785309556229
s3.request,2019-12-29T01:00:00Z,1602.0781908663448,3782.033724128901,5961.989257391458
s3.request,2019-12-29T02:00:00Z,2354.565517866075,4535.24343103142,6715.921344196766
s3.request,2019-12-29T03:00:00Z,3126.800389684266,5308.2004435332365,7489.600497382207
s3.request,2019-12-29T04:00:00Z,3846.692190141244,6028.814145692175,8210.936101243105
s3.request,2019-12-29T05:00:00Z,4405.214886885509,6588.05850539384,8770.902123902171
s3.request,2019-12-29T06:00:00Z,4716.255488399938,6899.820531357825,9083.385574315711
s3.request,2019-12-29T07:00:00Z,4731.125987848425,6915.412216984341,9099.698446120257
s3.request,2019-12-29T08:00:00Z,4426.9155248113875,6611.922702089743,8796.9298793681
s3.request,2019-12-29T09:00:00Z,3837.156746277569,6022.884633898317,8208.612521519064
s3.request,2019-12-29T10:00:00Z,3131.883254898507,5318.3316152967545,7504.779975695003
s3.request,2019-12-29T11:00:00Z,2649.295913720754,4836.464509566376,7023.633105411998
s3.request,2019-12-29T12:00:00Z,2768.9687477236535,4956.857341920908,7144.745936118163
s3.request,2019-12-29T13:00:00Z,3647.673722175148,5836.282077862288,8024.890433549428
s3.request,2019-12-29T14:00:00Z,5004.866063804426,7194.193944353316,9383.521824902205
s3.request,2019-12-29T15:00:00Z,6171.1677994707425,8361.214968486474,10551.262137502206
s3.request,2019-12-29T16:00:00Z,6436.688716238843,8627.454937559354,10818.221158879865
s3.request,2019-12-29T17:00:00Z,5487.548646363521,7679.03368405921,9870.5187217549
s3.request,2019-12-29T18:00:00Z,3617.8259403201546,5810.0295586935035,8002.2331770668525
s3.request,2019-12-29T19:00:00Z,1555.6356478251896,3748.5576114103815,5941.479574995574
s3.request,2019-12-29T20:00:00Z,30.560148125743126,2224.2002216882815,4417.84029525082
s3.request,2019-12-29T21:00:00Z,-604.8488292748816,1589.5091192614518,3783.8670677977852
s3.request,2019-12-29T22:00:00Z,-454.89292486610793,1740.182663871035,3935.258252608178
s3.request,2019-12-29T23:00:00Z,132.15900022788583,2327.9519946230407,4523.744989018196
s3.request,2019-12-30T00:00:00Z,852.042229913332,3048.5523956535158,5245.062561393699
s3.request,2019-12-30T01:00:00Z,1584.8066211272348,3782.033724128901,5979.260827130567
s3.request,2019-12-30T02:00:00Z,2337.299624622752,4535.24343103142,6733.187237440088
s3.request,2019-12-30T03:00:00Z,3109.540167343358,5308.2004435332365,7506.860719723115
s3.request,2019-12-30T04:00:00Z,3829.4376331185595,6028.814145692175,8228.19065826579
s3.request,2019-12-30T05:00:00Z,4387.965989606014,6588.05850539384,8788.151021181668
s3.request,2019-12-30T06:00:00Z,4699.012245297738,6899.820531357825,9100.62881741791
s3.request,2019-12-30T07:00:00Z,4713.88839336674,6915.412216984341,9116.936040601942
s3.request,2019-12-30T08:00:00Z,4409.683573402536,6611.922702089743,8814.16183077695
s3.request,2019-12-30T09:00:00Z,3819.9304324029436,6022.884633898317,8225.83883539369
s3.request,2019-12-30T10:00:00Z,3114.6625730285546,5318.3316152967545,7522.000657564955
s3.request,2019-12-30T11:00:00Z,2632.0808583349553,4836.464509566376,7040.848160797797
